Name	Region	Year	Fixed Acidity	Volatile Acidity	Citric Acid	Residual Sugar	Producer	Chlorides	Free Sulfur Dioxide	Total Sulfur Dioxide	Density	pH	Sulphates	Alcohol	Quality
Joo Portugal Ramos Syrah 2005	Regional Alentejo	2005	6.5	0.21	0.28	1.4	Joo Portugal Ramos - Vinhos, SA	0.046	26	66	0.99199	3.43	0.48	11.1	6
Joo Portugal Ramos Tinta Caiada 2004	Regional Alentejo	2004	7.6	0.48	0.33	7	Joo Portugal Ramos - Vinhos, SA	0.024	14	130	0.9918	3.25	0.45	12.5	7
Joo Xavier Reserva 2002	Regional Pennsula de Setbal	2002	7.1	0.34	0.32	2	Casa Agrcola Costa Xavier, Lda	0.051	29	130	0.99354	3.3	0.5	10.4	6
Joaquim Costa Vargas 2011	Regional Alentejo	2011	8.9	0.21	0.37	1.2	Alenvinus, Lda	0.028	20	93	0.99244	3.2	0.37	11.5	5
Joaquim Costa Vargas Anto Vaz 2007	Regional Alentejo	2007	7.4	0.32	0.27	12.9	Alenvinus, Lda	0.04	60	221	0.99831	3.05	0.66	9.4	5
Joaquim Costa Vargas Reserva 2006	Regional Alentejo	2006	6	0.495	0.27	5	Alenvinus, Lda	0.157	17	129	0.99396	3.03	0.36	9.3	5
Joaquim Madeira 2008	Regional Alentejo	2008	8.1	0.25	0.34	10.1	Casa Agrcola Santana Ramalho, Lda	0.05	30	121	0.99724	3.17	0.49	10.1	6
Joaquim Madeira 2011	Regional Alentejo	2011	8.2	0.25	0.46	3.75	Casa Agrcola Santana Ramalho, Lda	0.05	14	102	0.99524	3.28	0.58	9.7	5
Joaquim Madeira 2017	DOC Alentejo	2017	6.5	0.18	0.29	1.7	Casa Agrcola Santana Ramalho, Lda	0.035	39	144	0.9927	3.49	0.5	10.5	6
Jia de Famlia Grande Escolha 1997	DOC Douro	1997	6.7	0.24	0.26	12.6	Caves Vale do Rodo, C.R.L.	0.053	44	182	0.99802	3.42	0.42	9.7	5
Jia de Famlia Grande Escolha 2004	DOC Douro	2004	6.6	0.32	0.24	1.3	Caves Vale do Rodo, C.R.L.	0.06	42.5	204	0.99512	3.59	0.51	9.2	5
Jos Bento dos Santos Originals Aurius 2006	Regional Lisboa	2006	7.6	0.32	0.35	1.6	Jos Bento dos Santos - Quinta do Monte D'Oiro	0.092	24	138	0.99438	3.19	0.44	9.8	5
Jos Bento dos Santos Originals Tmpera Tinta Roriz 2006	Regional Lisboa	2006	7.4	0.33	0.44	7.6	Jos Bento dos Santos - Quinta do Monte D'Oiro	0.05	40	227	0.99679	3.12	0.52	9	5
Jos de Sousa 2001	Regional Alentejo	2001	7.2	0.3	0.3	8.1	Jos Maria da Fonseca Vinhos, S.A.	0.05	40	188	0.99652	3.15	0.49	9.1	6
Jos de Sousa 2002	Regional Alentejo	2002	7.4	0.34	0.3	14.9	Jos Maria da Fonseca Vinhos, S.A.	0.037	70	169	0.99698	3.25	0.37	10.4	6
Jos de Sousa 2003	Regional Alentejo	2003	6.1	0.16	0.29	6	Jos Maria da Fonseca Vinhos, S.A.	0.03	29	144	0.99474	3.68	0.46	10.7	6
Jos de Sousa 2004	Regional Alentejo	2004	6.3	0.1	0.24	6	Jos Maria da Fonseca Vinhos, S.A.	0.039	25	107	0.99511	3.59	0.49	10.5	7
Jos de Sousa 2010	Regional Alentejo	2010	6.2	0.45	0.73	7.2	Jos Maria da Fonseca Vinhos, S.A.	0.099	47	202	0.99582	3.21	0.43	9.2	5
Jos de Sousa 2011	Regional Alentejo	2011	6	0.33	0.18	3	Jos Maria da Fonseca Vinhos, S.A.	0.036	5	85	0.99125	3.28	0.4	11.5	4
Jos de Sousa Mayor 1999	Regional Alentejo	1999	7.6	0.48	0.37	1.2	Jos Maria da Fonseca Vinhos, S.A.	0.034	5	57	0.99256	3.05	0.54	10.4	3
Jos de Sousa Mayor 2000	Regional Alentejo	2000	7.2	0.2	0.3	2	Jos Maria da Fonseca Vinhos, S.A.	0.039	43	188	0.9911	3.3	0.41	12	6
Jos de Sousa Mayor 2009	Regional Alentejo	2009	7	0.32	0.29	4.9	Jos Maria da Fonseca Vinhos, S.A.	0.036	41	150	0.99168	3.38	0.43	12.2	6
Jos de Sousa Mayor 2011	Regional Alentejo	2011	7.2	0.2	0.3	2	Jos Maria da Fonseca Vinhos, S.A.	0.039	43	188	0.9911	3.3	0.41	12	6
Jos de Sousa Mayor 2014	Regional Pennsula de Setbal	2014	7	0.22	0.29	8.9	Jos Maria da Fonseca Vinhos, S.A.	0.05	24	90	0.99556	3.29	0.46	9.8	6
Jos Lus Espinheira 2014	Mesa Vinhos Verdes	2014	9.4	0.23	0.56	16.45	Jos Lus Espinheira	0.063	52.5	282	1.00098	3.1	0.51	9.3	5
Jos Maria da Fonseca Garrafeira RA 1985	Regional Pennsula de Setbal	1985	6.4	0.27	0.19	2	Jos Maria da Fonseca Vinhos, S.A.	0.084	21	191	0.99516	3.49	0.63	9.6	4
Joseph Cattin Alsace Riesling 2013	Frana	2013	6.4	0.27	0.19	1.9	Joseph Cattin	0.085	21	196	0.99516	3.49	0.64	9.5	4
Joseph Faiveley Chablis 1er Cru Fourchaume 2007	Frana	2007	7	0.23	0.42	5.1	Domaine Faiveley	0.042	37	144	0.99518	3.5	0.59	10.2	6
Joseph Faiveley Chassagne Montrachet 2007	Frana	2007	6.9	0.15	0.28	4.4	Domaine Faiveley	0.029	14	107	0.99347	3.24	0.46	10.4	8
Joseph Faiveley Meursault 2007	Frana	2007	6.7	0.26	0.29	5.8	Domaine Faiveley	0.025	26	74	0.9929	3.28	0.53	11	6
Joseph Faiveley Puligny-Montrachet 2007	Frana	2007	6.9	0.15	0.28	4.4	Domaine Faiveley	0.029	14	107	0.99347	3.24	0.46	10.4	8
Josephshofer Kabinett Feinherb Riesling 2008	Alemanha	2008	7.6	0.2	0.68	12.9	Gutsabfullung Reichsgraf von Kesselstatt	0.042	56	160	0.99841	3.05	0.41	8.7	5
JP 2004	Regional Pennsula de Setbal	2004	6.9	0.3	0.29	1.3	Bacalha Vinhos de Portugal, S.A.	0.053	24	189	0.99362	3.29	0.54	9.9	4
Juan Carrau Chardonnay 2009	Uruguai	2009	6.9	0.3	0.3	1.3	Bodegas Carrau	0.053	24	186	0.99361	3.29	0.54	9.9	4
Juan Carrau Chardonnay de Reserva 2007	Uruguai	2007	7.6	0.21	0.35	1.2	Bodegas Carrau	0.041	7	106	0.9914	3.06	0.45	11.3	4
Julia Kemper 2008	DOC Do	2008	6.8	0.46	0.26	2.7	Julia Kemper	0.042	28	83	0.99114	3.38	0.51	12	8
Julia Kemper 2008	DOC Do	2008	7	0.28	0.26	1.7	Julia Kemper	0.042	34	130	0.9925	3.43	0.5	10.7	8
Julia Kemper 2009	DOC Do	2009	6.5	0.24	0.29	8.2	Julia Kemper	0.043	32	156	0.99453	3.13	0.7	10.1	6
Julia Kemper 2012	DOC Do	2012	6.4	0.17	0.34	1.5	Julia Kemper	0.091	42	135	0.9938	3.25	0.49	9.6	7
Julian Reynolds 2006	Regional Alentejo	2006	6.4	0.17	0.34	1.5	Julin Cullar Reynolds, Lda	0.093	43	136	0.9938	3.25	0.49	9.6	6
Julian Reynolds 2007	Regional Alentejo	2007	6.3	0.695	0.55	12.9	Julin Cullar Reynolds, Lda	0.056	58	252	0.99806	3.29	0.49	8.7	5
"Caves Velhas Do ""Juta"" 1999"	DOC Do	1999	7	0.27	0.29	3.9	Caves Velhas, Companhia Port Vinhos de Marca	0.059	28	199	0.9961	3.54	0.59	10.3	5
Kaiken Reserva Malbec 2006	Argentina	2006	8.4	0.3	0.25	17.75	Kaiken Wines	0.047	25	218	1.00016	2.98	0.66	9.1	5
Kendermanns Kalkstein Riesling 2007	Alemanha	2007	6.5	0.19	0.27	4.9	H. Kendermann GMBH Weinkellerei Bingen	0.037	13	101	0.9916	3.17	0.41	11.8	6
Kendermanns Late Harvest 2005	Alemanha	2005	8	0.36	0.39	1.6	H. Kendermann GMBH Weinkellerei Bingen	0.024	26	93	0.99116	3.15	0.49	11.9	6
Kendermanns Schiefer Riesling 2006	Alemanha	2006	6.1	0.16	0.24	1.4	H. Kendermann GMBH Weinkellerei Bingen	0.046	17	77	0.99319	3.66	0.57	10.3	6
Kolheita 2004	DOC Douro	2004	9.2	0.19	0.42	2	Kolheita de Ideias - Vinhos Lda	0.047	16	104	0.99517	3.09	0.66	10	4
Kompassus 2011	DOC Bairrada	2011	9.2	0.16	0.49	2	Kompassus - Vinhos, Lda	0.044	18	107	0.99514	3.1	0.53	10.2	4
Kompassus Reserva 2005	DOC Bairrada	2005	8	0.26	0.28	8.2	Kompassus - Vinhos, Lda	0.038	72	202	0.99566	3.12	0.56	10	6
Kompassus Reserva 2006	DOC Bairrada	2006	8.8	0.33	0.36	2.1	Kompassus - Vinhos, Lda	0.034	19	125	0.99166	2.96	0.98	12.7	6
Kompassus Reserva 2013	DOC Bairrada	2013	9.8	0.16	0.46	1.8	Kompassus - Vinhos, Lda	0.046	23	130	0.99587	3.04	0.67	9.6	5
Encostas do Rabaal Reserva 2011	DOC Bairrada	2016	6.6	0.23	0.18	8.5	Kompassus - Vinhos, Lda	0.044	59	188	0.99558	3.16	0.49	9.5	5
Encostas do Rabaal Reserva 2014	DOC Douro	2008	7.9	0.44	0.26	4.45	C. N. Kopke & C. Lda	0.033	23	100	0.99117	3.17	0.52	12.7	6
Encostas do Rabaal Touriga Franca 2008	DOC Douro	2013	7.6	0.31	0.27	5.8	C. N. Kopke & C. Lda	0.036	23	109	0.99399	3.34	0.54	11	6
Encostas do Rabaal Trincadeira 2006	DOC Douro	2005	7.5	0.705	0.1	13	C. N. Kopke & C. Lda	0.044	44	214	0.99741	3.1	0.5	9.1	5
Encostas do Rabaal Trincadeira Preta 2003	DOC Douro	2007	7.1	0.21	0.28	2.7	C. N. Kopke & C. Lda	0.034	23	111	0.99405	3.35	0.64	10.2	4
Encostas do Trogo 2017	DOC Douro	2008	7	0.16	0.26	7.3	C. N. Kopke & C. Lda	0.047	30	220	0.99622	3.38	0.58	10.1	6
Encostas do Trogo Reserva 2016	DOC Douro	2011	8	0.27	0.25	19.1	C. N. Kopke & C. Lda	0.045	50	208	1.00051	3.05	0.5	9.2	6
Encostas do Trogo Reserva 2019	DOC Douro	2012	6.3	0.38	0.17	8.8	C. N. Kopke & C. Lda	0.08	50	212	0.99803	3.47	0.66	9.4	4
Encostas do Tua Reserva 2012	DOC Douro	2015	7.1	0.21	0.28	2.7	C. N. Kopke & C. Lda	0.034	23	111	0.99405	3.35	0.64	10.2	4
Encostas do Tua Reserva 2015	DOC Douro	2016	6.2	0.38	0.18	7.4	C. N. Kopke & C. Lda	0.095	28	195	0.99773	3.53	0.71	9.2	4
Engelbrecht Els 2007	DOC Douro	2008	8.2	0.24	0.3	2.3	C. N. Kopke & C. Lda	0.05	23	106	0.99397	2.98	0.5	10	5
Enigma 2012	ustria	2004	7	0.16	0.26	6.85	Kracher	0.047	30	220	0.99622	3.38	0.58	10.1	6
Enigma Colheita Seleccionada 2012	ustria	2017	7.3	0.815	0.09	11.4	Kracher	0.044	45	204	0.99713	3.15	0.46	9	5
Enigma Syrah 2013	ustria	2004	6.3	0.41	0.16	0.9	Kracher	0.032	25	98	0.99274	3.16	0.42	9.5	5
Ensaios FP 2010	Frana	2016	6.1	0.36	0.41	19.35	Kressmann	0.07	67	207	1.00118	3.39	0.53	9.1	5
Enxodreiro Reserva 2008	frica do Sul	2016	8.1	0.4	0.32	7.9	Kumala	0.031	23	118	0.99176	3.05	0.46	13.3	7
Ermidas	Espanha	2010	6.8	0.26	0.43	11.75	Vinos de Benjamin Romeo, S.L.	0.045	53	198	0.9969	3.26	0.55	9.5	5
Ermita d'Espiells 2009	Frana	2004	6.2	0.44	0.18	7.7	V.U.M.	0.096	28	210	0.99771	3.56	0.72	9.2	5
Ervideira Anto Vaz 2008	Espanha	2006	7.2	0.24	0.29	3	Bodegas Finca La Estacada	0.036	17	117	0.99411	3.36	0.68	10.1	6
Ervideira Anto Vaz 2009	Espanha	2005	6.2	0.44	0.18	7.7	Vinos de Los Herderos del Marques de Riscal, S.A.	0.096	28	210	0.99771	3.56	0.72	9.2	5
Ervideira Anto Vaz 2012	Espanha	2015	7.2	0.24	0.29	3	Bodegas Palacios Remondo SA	0.036	17	117	0.99411	3.36	0.68	10.1	6
Ervideira Invisvel 2023	Espanha	2008	7.3	0.22	0.26	1.5	Bodegas Via Buena	0.04	32	172	0.99194	3.27	0.48	11.2	6
Ervideira Invisvel 2030	Frana	2009	8.1	0.34	0.28	7.5	Domaine de La Poussie	0.04	70	230	0.99558	3.14	0.55	9.8	6
Esboo 2005	Argentina	2008	7.3	0.22	0.26	1.5	Valle de la Puerta, S.A.	0.04	32	172	0.99194	3.27	0.48	11.2	6
Esboo 2007	Espanha	1997	8.1	0.34	0.28	7.5	Grupo La Rioja Alta, S.A.	0.04	70	230	0.99558	3.14	0.55	9.8	6
Escada 2008	Espanha	2001	6.4	0.28	0.17	8.3	Grupo La Rioja Alta, S.A.	0.042	61	195	0.99577	3.22	0.46	9.4	5
Escada d'Oro 2005	DOC Douro	2004	6.3	0.29	0.14	7.05	Quinta de La Rosa	0.045	50	177	0.99564	3.23	0.42	9	5
Escolha Antnio Saramago Palmela 2005	DOC Douro	2009	6.4	0.27	0.17	8.4	Quinta de La Rosa	0.044	60	198	0.99578	3.21	0.47	9.4	5
Escolha Antnio Saramago Palmela 2007	DOC Douro	2010	7.4	0.35	0.2	13.9	Quinta de La Rosa	0.054	63	229	0.99888	3.11	0.5	8.9	6
Escudo da Comenda 2012	DOC Douro	2015	8.3	0.28	0.27	17.5	Quinta de La Rosa	0.045	48	253	1.00014	3.02	0.56	9.1	6
Escudo Rojo Chardonnay 2013	DOC Douro	2015	6.4	0.35	0.35	5.6	Quinta de La Rosa	0.034	9	148	0.99441	3.17	0.5	9.8	4
Esencia Divia Albario 2017	DOC Douro	2016	6.9	0.43	0.28	9.4	Quinta de La Rosa	0.056	29	183	0.99594	3.17	0.43	9.4	5
Esk Valley Hawkes Bay Chardonnay 2008	DOC Douro	2017	8	0.26	0.28	4.8	Quinta de La Rosa	0.05	34	150	0.99437	3.13	0.5	10	6
Esk Valley Hawkes Bay Riesling 2007	Frana	2002	6.9	0.43	0.28	9.4	Philippe Dumas  Saint-Gervais	0.056	29	183	0.99594	3.17	0.43	9.4	5
Eskuadro & Kompassu 2011	Espanha	2017	7.3	0.27	0.37	9.7	Bodegas Aadas, S.A.	0.042	36	130	0.9979	3.48	0.75	9.9	6
Esmero 2006	Espanha	2017	6.8	0.46	0.26	6.3	Bodegas Aadas, S.A.	0.147	49	159	0.99434	3.14	0.47	10	5
Esmero 2008	Espanha	2016	7.2	0.2	0.28	1.6	Bodegas Aadas, S.A.	0.028	13	168	0.99203	3.17	1.06	11.5	6
Esprito do Ca Reserva 2015	Frana	2002	7.6	0.285	0.32	14.6	-	0.063	32	201	0.998	3	0.45	9.2	5
Esporo 1 Prmio - Confraria dos Enfilos do Alentejo 2008	Espanha	2012	6.6	0.32	0.33	2.5	Bodegas Bilbanas	0.052	40	219.5	0.99316	3.15	0.6	10	5
Esporo 2 Castas 2007	Espanha	2008	7.6	0.285	0.32	14.6	Bodegas Canopy S.L.	0.063	32	201	0.998	3	0.45	9.2	5
Esporo 2 Castas 2009	Espanha	2011	6.6	0.34	0.34	2.6	Unzu Propriedad, S.L.	0.051	40.5	210	0.99314	3.15	0.61	10	5
Esporo 2 Castas 2011	Regional Douro	2007	6.6	0.32	0.33	2.5	Quinta do Noval - Vinhos, S.A.	0.052	40	210	0.99316	3.15	0.6	10	5
Esporo 2 Castas 2012	Regional Douro	2008	6.5	0.27	0.26	8.2	Quinta do Noval - Vinhos, S.A.	0.042	21	133	0.99612	3.43	0.64	9.8	6
Esporo 2 Castas 2013	Regional Douro	2010	6.6	0.26	0.27	1.5	Quinta do Noval - Vinhos, S.A.	0.04	19	114	0.99295	3.36	0.62	10.5	6
Esporo 2 Castas 2014	DOC Douro	2012	6.7	0.27	0.26	2.3	G & R Consultores - Consultores em Viticultura e Enologia, Lda	0.043	61	181	0.99394	3.45	0.63	10.6	6
Esporo 2 Castas 2017	DOC Douro	2013	6.6	0.56	0.15	10	G & R Consultores - Consultores em Viticultura e Enologia, Lda	0.037	38	157	0.99642	3.28	0.52	9.4	5
Esporo 4 Castas 2008	DOC Douro	2014	6.6	0.56	0.15	10	G & R Consultores - Consultores em Viticultura e Enologia, Lda	0.037	38	157	0.99642	3.28	0.52	9.4	5
Esporo 4 Castas 2010	DOC Douro	2014	7.3	0.19	0.27	1.6	G & R Consultores - Consultores em Viticultura e Enologia, Lda	0.027	35	136	0.99248	3.38	0.54	11	7
Esporo 4 Castas 2011	DOC Do	2016	6.3	0.2	0.26	1.6	Ladeira da Santa, Lda	0.027	36	141	0.99268	3.53	0.56	10.8	6
Esporo 4 Castas 2013	DOC Do	2007	7.1	0.29	0.3	16	Sociedade Agro Pecuria da Quinta de Darei, Lda	0.036	58	201	0.99954	3.3	0.67	9	5
Esporo Alicante Bouschet 2005	DOC Do	2004	7.8	0.32	0.33	10.4	Sociedade Agro Pecuria da Quinta de Darei, Lda	0.031	47	194	0.99692	3.07	0.58	9.6	6
Esporo Private Selection 2006	DOC Do	2007	8.1	0.33	0.36	7.4	Sociedade Agro Pecuria da Quinta de Darei, Lda	0.037	36	156	0.99592	3.19	0.54	10.6	6
Esporo Private Selection 2007	DOC Do	2011	8.1	0.33	0.36	7.4	Sociedade Agro Pecuria da Quinta de Darei, Lda	0.037	36	156	0.99592	3.19	0.54	10.6	6
Esporo Private Selection 2008	DOC Do	2005	7.8	0.32	0.33	10.4	Sociedade Agro Pecuria da Quinta de Darei, Lda	0.031	47	194	0.99692	3.07	0.58	9.6	6
Esporo Private Selection 2009	DOC Douro	2000	6.6	0.33	0.24	16.05	Caves Velhas, Companhia Port Vinhos de Marca	0.045	31	147	0.99822	3.08	0.52	9.2	5
Esporo Private Selection 2011	DOC Algarve	2013	6.6	0.33	0.24	16.05	nica - Adega Cooperativa do Algarve	0.045	31	147	0.99822	3.08	0.52	9.2	5
Esporo Private Selection 2012	Regional Tejo	2014	8.2	0.26	0.33	2.6	Sociedade Agrcola da Quinta da Lagoalva de Cima, S.A.	0.053	11	71	0.99402	2.89	0.49	9.5	5
Esporo Private Selection 2013	Regional Tejo	2016	8.3	0.25	0.33	2.5	Sociedade Agrcola da Quinta da Lagoalva de Cima, S.A.	0.053	12	72	0.99404	2.89	0.48	9.5	5
Esporo Private Selection 2014	Espanha	2011	7	0.26	0.26	10.8	Marqus de La Concordia Family of Wines SA	0.039	37	184	0.99787	3.47	0.58	10.3	7
Esporo Private Selection 2015	Espanha	2005	6	0.26	0.15	1.2	Bodegas Lan S.A.	0.053	35	124	0.99347	3.08	0.46	8.8	5
Esporo Private Selection 2016	Espanha	2010	7.5	0.28	0.78	12.1	Bodegas Lan S.A.	0.041	53	161	0.99838	2.98	0.44	8.7	5
Esporo Private Selection Garrafeira 2015	Regional Pennsula de Setbal	2005	7.5	0.27	0.79	11.95	Jos Maria da Fonseca Vinhos, S.A.	0.04	51	159	0.99839	2.98	0.44	8.7	5
Esporo Private Selection Garrafeira 2021	Regional Pennsula de Setbal	-1	7	0.28	0.32	1.7	Jos Maria da Fonseca Vinhos, S.A.	0.038	27	128	0.99375	3.2	0.62	10.2	6
Esporo Quatro Castas Reserva 2001	Regional Pennsula de Setbal	-1	5.2	0.16	0.34	0.8	Jos Maria da Fonseca Vinhos, S.A.	0.029	26	77	0.99155	3.25	0.51	10.1	6
Esporo Quatro Castas Reserva 2002	Regional Pennsula de Setbal	-1	6.8	0.34	0.1	1.4	Jos Maria da Fonseca Vinhos, S.A.	0.049	29	118	0.9936	3.21	0.41	9.5	5
Esporo Quatro Castas Reserva 2005	Regional Pennsula de Setbal	-1	7.6	0.25	0.34	1.3	Jos Maria da Fonseca Vinhos, S.A.	0.056	34	176	0.99434	3.1	0.51	9.5	5
Esporo Reserva 2001	Regional Alentejo	2011	5.6	0.35	0.4	6.3	Sousa Cunhal Turismo, S.A.	0.022	23	174	0.9922	3.54	0.5	11.6	7
Esporo Reserva 2003	Regional Alentejo	2010	8.8	0.24	0.23	10.3	Sousa Cunhal Turismo, S.A.	0.032	12	97	0.99571	3.13	0.4	10.7	6
Esporo Reserva 2004	DOC Do	2001	6	0.29	0.21	15.55	Sovido - Sociedade Agrcola e Vitivincola da Ribeira do Do, S.A.	0.043	20	142	0.99658	3.11	0.54	10.1	6
Esporo Reserva 2006	Regional Alentejo	2005	6.1	0.27	0.31	1.5	Sociedade Agrcola Joo Teodsio Matos Barbosa & Filhos, Lda	0.035	17	83	0.99076	3.32	0.44	11.1	7
Esporo Reserva 2007	Chile	2015	7.4	0.56	0.09	1.5	Casa Lapostolle S.A.	0.071	19	117	0.99496	3.22	0.53	9.8	5
Esporo Reserva 2007	Frana	2007	6.8	0.29	0.49	1.4	Domaine Laroche	0.142	52	148	0.9937	3.08	0.49	9	6
Esporo Reserva 2008	Argentina	2005	6.1	0.27	0.31	1.5	Bodegas Chandon	0.035	17	83	0.99076	3.32	0.44	11.1	7
Esporo Reserva 2009	Frana	2008	6.3	0.27	0.37	7.9	Maison Gabriel Meffre	0.047	58	215	0.99542	3.19	0.48	9.5	6
Esporo Reserva 2009	EUA	2005	6.6	0.24	0.3	13	Stephan Vineyards - L'Aventure Paso Robles	0.052	18	143	0.99825	3.37	0.49	9.4	6
Esporo Reserva 2010	DOC Douro	2004	6.8	0.32	0.3	1	Lavradores de Feitoria, Vinhos de Quinta S.A.	0.049	22	113	0.99289	3.24	0.61	10.2	5
Esporo Reserva 2010	DOC Douro	2012	6.4	0.37	0.37	4.85	Lavradores de Feitoria, Vinhos de Quinta S.A.	0.041	39.5	216.5	0.99432	3.1	0.5	9.8	6
Esporo Reserva 2011	DOC Douro	2004	6.2	0.26	0.37	7.1	Lavradores de Feitoria, Vinhos de Quinta S.A.	0.047	54	201	0.99523	3.19	0.48	9.5	6
Esporo Reserva 2011	DOC Douro	2003	6.3	0.27	0.37	7.9	Lavradores de Feitoria, Vinhos de Quinta S.A.	0.047	58	215	0.99542	3.19	0.48	9.5	6
Esporo Reserva 2012	Frana	2016	6.4	0.3	0.16	7.5	Domaines Rollan de By	0.05	55	191	0.9959	3.17	0.49	9	5
Esporo Reserva 2012	Frana	2016	8	0.28	0.32	7.6	Domaines Rollan de By	0.045	61	204	0.99543	3.1	0.55	10.1	6
Esporo Reserva 2013	Frana	2015	6.7	0.24	0.32	10.3	Grandissime	0.079	37	122	0.99662	3.02	0.45	8.8	5
Esporo Reserva 2014	Frana	2015	7.9	0.27	0.27	1.7	Grandissime	0.034	25	122	0.99088	2.97	0.51	11.9	6
Esporo Reserva 2015	Espanha	2011	7.9	0.27	0.27	1.7	Bodegas Lecea	0.034	25	122	0.99088	2.97	0.51	11.9	6
Esporo Reserva 2016	Espanha	2011	6.1	0.28	0.24	19.95	Legaris S.L.	0.074	32	174	0.99922	3.19	0.44	9.3	6
Esporo Reserva 2017	DOC Douro	2004	7.7	0.39	0.49	7.7	Sociedade dos Vinhos Borges, SA	0.036	11	110	0.9966	3.33	0.76	10	6
Esporo Syrah 2006	DOC Douro	2010	6	0.2	0.24	5.3	Sociedade dos Vinhos Borges, SA	0.075	49	201	0.99466	3.21	0.43	9.5	5
Esporo Touriga Nacional 2003	DOC Douro	2009	6.1	0.28	0.24	19.95	Sociedade dos Vinhos Borges, SA	0.074	32	174	0.99922	3.19	0.44	9.3	6
Esporo Touriga Nacional 2005	ustria	2007	7.6	0.31	0.23	12.7	Weinkellerei Lenz Moser AG	0.054	20	139	0.99836	3.16	0.5	9.7	4
Esporo Touriga Nacional 2006	Regional Pennsula de Setbal	2003	7.6	0.31	0.23	12.7	Casa Ermelinda Freitas	0.054	20	139	0.99836	3.16	0.5	9.7	4
Esporo Trincadeira 2006	DOC Pennsula de Setbal	2008	6.3	0.18	0.22	1.5	Casa Ermelinda Freitas	0.043	45	155	0.99238	3.19	0.48	10.2	5
Esporo Verdelho 2007	DOC Pennsula de Setbal	2009	8.6	0.23	0.25	11.3	Casa Ermelinda Freitas	0.031	13	96	0.99645	3.11	0.4	10.8	5
Esporo Verdelho 2009	Itlia	2012	6.8	0.21	0.36	18.1	Cantine Leonardo da Vinci Soc. Agr. Coop.	0.046	32	133	1	3.27	0.48	8.8	5
Esporo Verdelho 2011	Frana	2007	6.8	0.21	0.36	18.1	Domaine Brocourt	0.046	32	133	1	3.27	0.48	8.8	5
Esporo Verdelho 2012	Frana	2009	6.9	0.26	0.31	7	Cave de Roquebrun	0.039	37	175	0.99376	3.32	0.49	11.4	6
Esporo Verdelho 2013	Mesa Ribatejo	-1	6.8	0.21	0.36	18.1	Adega Cooperativa de Almeirim, C.R.L.	0.046	32	133	1	3.27	0.48	8.8	5
Esporo Verdelho 2014	Espanha	2008	6.4	0.31	0.4	6.4	Bodegas Castillo de Maetierra, S.L.	0.039	39	191	0.99513	3.14	0.52	9.8	5
Esporo Verdelho 2015	Regional Alentejo	2007	8.6	0.34	0.36	1.4	Lima Mayer & Companhia	0.045	11	119	0.99556	3.17	0.47	9.4	4
Esporo Verdelho 2017	Regional Alentejo	2007	8.6	0.34	0.36	1.4	Lima Mayer & Companhia	0.045	11	119	0.99556	3.17	0.47	9.4	4
Essence Mosel Riesling 2013	Austrlia	2011	8.5	0.3	0.28	3.1	Lindeman's	0.054	54	174	0.99543	3.21	0.43	9.4	6
Esteva 2001	Austrlia	2009	7.4	0.4	0.41	14.1	Lindeman's	0.053	37	194	0.99886	3.2	0.63	9.4	6
Esteva 2002	Austrlia	2009	6.6	0.32	0.34	7.7	Lindeman's	0.044	63	212	0.99526	3.22	0.48	9.7	6
Esteva 2003	Regional Pennsula de Setbal	2005	7.1	0.34	0.31	5.2	Sociedade Agrcola Casal do Tojo, S.A.	0.032	36	140	0.99166	3.35	0.47	12.3	7
Esteva 2006	Regional Lisboa	2013	6.6	0.26	0.25	11.6	Companhia das Lezrias, SA	0.045	45	178	0.99691	3.33	0.43	9.8	6
Esteva 2008	Regional Alentejo	2004	8	0.27	0.57	10.4	Joo Portugal Ramos - Vinhos, SA	0.053	18	134	0.99732	3.12	0.68	9	5
Esteva 2010	Regional Alentejo	2005	6.2	0.28	0.45	7.5	Joo Portugal Ramos - Vinhos, SA	0.045	46	203	0.99573	3.26	0.46	9.2	6
Estiba I Malbec 2006	Regional Alentejo	2009	6.2	0.3	0.49	11.2	Joo Portugal Ramos - Vinhos, SA	0.058	68	215	0.99656	3.19	0.6	9.4	6
Estopa Reserva 2006	Regional Alentejo	2011	5.6	0.175	0.29	0.8	Joo Portugal Ramos - Vinhos, SA	0.043	20	67	0.99112	3.28	0.48	9.9	6
Estopa Reserva 2007	Regional Alentejo	2011	6.9	0.34	0.36	1.4	Joo Portugal Ramos - Vinhos, SA	0.032	13	145	0.99214	3.07	0.52	9.8	5
Estopa Vinhas Velhas 2004	Regional Alentejo	2013	6.9	0.34	0.3	4.7	Joo Portugal Ramos - Vinhos, SA	0.029	34	148	0.99165	3.36	0.49	12.3	7
Estremadouro Reserva 2005	Regional Alentejo	2016	7.1	0.12	0.3	3.1	Joo Portugal Ramos - Vinhos, SA	0.018	15	37	0.99004	3.02	0.52	11.9	7
Etc Colheita Seleccionada 2008	frica do Sul	2007	7.1	0.32	0.29	4	Long Mountain Wine Company	0.038	33	170	0.99463	3.27	0.64	10.2	6
Etchart Privado Torronts 2011	Argentina	2004	7.3	0.51	0.29	11.3	Bodegas Lopez	0.034	61	224	0.99683	3.14	0.56	9.5	6
